age workclass fnlwgt education education-num marital-status occupation relationship race sex capital-gain capital-loss hours-per-week native-country
39 5 77516 13 13 2 8 3 0 1 2174 0 40 0 0
50 1 83311 13 13 0 4 2 0 1 0 0 13 0 0
38 0 215646 8 9 1 6 3 0 1 0 0 40 0 0
53 0 234721 6 7 0 6 2 4 1 0 0 40 0 0
28 0 338409 13 13 0 5 0 4 0 0 0 40 12 0
37 0 284582 14 14 0 4 0 0 0 0 0 40 0 0
49 0 160187 4 5 5 2 3 4 0 0 0 16 18 0
52 1 209642 8 9 0 4 2 0 1 0 0 45 0 1
31 0 45781 14 14 2 5 3 0 0 14084 0 50 0 1
42 0 159449 13 13 0 4 2 0 1 5178 0 40 0 1
37 0 280464 11 10 0 4 2 4 1 0 0 80 0 1
30 5 141297 13 13 0 5 2 1 1 0 0 40 7 1
23 0 122272 13 13 2 8 1 0 0 0 0 30 0 0
32 0 205019 9 12 2 3 3 4 1 0 0 50 0 0
40 0 121772 10 11 0 1 2 1 1 0 0 40 ? 1
34 0 245487 3 4 0 10 2 2 1 0 0 45 20 0
25 1 176756 8 9 2 9 1 0 1 0 0 35 0 0
32 0 186824 8 9 2 7 5 0 1 0 0 40 0 0
38 0 28887 6 7 0 3 2 0 1 0 0 50 0 0
43 1 292175 14 14 1 4 5 0 0 0 0 45 0 1
40 0 193524 15 16 0 5 2 0 1 0 0 60 0 1
54 0 302146 8 9 3 2 5 4 0 0 0 20 0 0
35 3 76845 4 5 0 9 2 4 1 0 0 40 0 0
43 0 117037 6 7 0 10 2 0 1 0 2042 40 0 0
59 0 109015 8 9 1 0 5 0 0 0 0 40 0 0
56 4 216851 13 13 0 0 2 0 1 0 0 40 0 1
19 0 168294 8 9 2 1 1 0 1 0 0 40 0 0
54 ? 180211 11 10 0 ? 2 1 1 0 0 60 10 1
39 0 367260 8 9 1 4 3 0 1 0 0 80 0 0
49 0 193366 8 9 0 1 2 0 1 0 0 40 0 0
23 4 190709 9 12 2 12 3 0 1 0 0 52 0 0
20 0 266015 11 10 2 3 1 4 1 0 0 44 0 0
45 0 386940 13 13 1 4 1 0 1 0 1408 40 0 0
30 3 59951 11 10 0 8 1 0 1 0 0 40 0 0
22 5 311512 11 10 0 2 2 4 1 0 0 15 0 0
48 0 242406 6 7 2 7 5 0 1 0 0 40 3 0
21 0 197200 11 10 2 7 1 0 1 0 0 40 0 0
19 0 544091 8 9 6 8 0 0 0 0 0 25 0 0
31 0 84154 11 10 0 3 2 0 1 0 0 38 ? 1
48 1 265477 9 12 0 5 2 0 1 0 0 40 0 0
31 0 507875 4 5 0 7 2 0 1 0 0 43 0 0
53 1 88506 13 13 0 5 2 0 1 0 0 40 0 0
24 0 172987 13 13 0 0 2 0 1 0 0 50 0 0
49 0 94638 8 9 3 8 5 0 0 0 0 40 0 0
25 0 289980 8 9 2 6 3 0 1 0 0 35 0 0
57 3 337895 13 13 0 5 2 4 1 0 0 40 0 1
53 0 144361 8 9 0 7 2 0 1 0 0 38 0 0
44 0 128354 14 14 1 4 5 0 0 0 0 40 0 0
41 5 101603 10 11 0 1 2 0 1 0 0 40 0 0
29 0 271466 10 11 2 5 3 0 1 0 0 43 0 0
